HOUSE SERVANT'S VOICE	m	He will be saying prayers in the  garden -- just follow the others.
SENIOR POLICE OFFICER	m	Yes, sir, he has. The usual -- India's  salt belongs to India -- but then he  says flatly that he personally is  going to lead a raid tomorrow on the  Dharasana Salt Works.
IRWIN	m	Thank him for his letter, and put  him in jail.
SENIOR POLICE OFFICER	m	Yes, sir. Yes, sir. It will be my  pleasure.
IRWIN	m	And Fields, keep that salt works  open.
SENIOR POLICE OFFICER	m	Yes, sir!
AZAD	m	I would like admission to the Works.
CHIEF POLICE OFFICER	m	I am sorry, sir. That cannot be  allowed.
AZAD	m	Last night they took Gandhiji from  us. They expect us to lose heart or  to fight back. We will not lose heart,  we will not fight back. In his name  we will be beaten. As he has taught  us, we will not raise a hand. "Long  live Mahatma Gandhi!"
POLICE COMMANDING OFFICER	m	Now!
WALKER	m	Hello! Ed! Ed! Goddammit, don't cut  me off! Ed! Okay -- yeah -- right.
WALKER	m	"They walked, with heads up, without  music, or cheering, or any hope of  escape from injury or death." "It went on and on and on. Women  carried the wounded bodies from the  ditch until they dropped from  exhaustion. But still it went on."
WALKER	m	"Whatever moral ascendance the West  held was lost today. India is free  for she has taken all that steel and  cruelty can give, and she has neither  cringed nor retreated." "In the words of his followers, 'Long  live Mahatma Gandhi.' "
GANDHI	m	I am aware that I must have given  you much cause for irritation, your  Excellency. I hope it will not stand  between us as men.
IRWIN	m	Mr. Gandhi, I have instructions to  request your attendance at an All- Government Conference in London to  discuss -- to discuss the possible  Independence of India.
MACDONALD	m	I think our first duty is to recognize  that there is not one India, but  several: a Hindu India, a Muslim  India, and India of Princely States.  And all these must be respected --  and cared for -- not just one.
GANDHI	m	Do I speak into that?
GANDHI	m	Are they ready? Do I start?
GANDHI	m	I am glad to speak to America where  so many friends exist that I know  only in my heart.
GANDHI'S VOICE	m	I think your interest and the world's  has fallen on India, not only because  we are struggling for freedom, but  because the way we are doing so is  unique as far as history shows us.  Here in Europe mighty nations are,  it seems, already contemplating  another war, though I think they,  and all the world, are sick to death  of bloodspilling. All of us are  seeking a way out, and I flatter  myself that perhaps the ancient land  of India will offer such a way. If  we are to make progress we must not  repeat history, but make history.  And I myself will die before I betray  our belief that love is a stronger  weapon than hate.
GANDHI	m	It is only a sprain. Take her to the  river, and we'll make a mud-pack for  her. Go -- I won't be long.
JINNAH	m	So the truth is, after all your  travels, all your efforts, they've  stopped the campaign and sent you  home empty-handed.
GANDHI	m	They are only clinging to old dreams and trying to split us in the old  way. But the will has gone --  Independence will drop like a ripe  apple. The only question is when and how.
NEHRU	m	I say when is now -- and we will  determine how.
JINNAH	m	Precisely.
GANDHI	m	They are preparing for war. I will  not support it, but I do not intend  to take advantage of their danger.
PATEL	m	That's when you take advantage.
GANDHI	m	No. That is just another way of  striking back. We have come a long  way together with the British. When  they leave we want to see them off  as friends. And now, if you'll excuse me, there  is something I must attend to.
NEHRU	m	"Mud packs."
BRITISH COLONEL	m	Mr. Gandhi -- sir.
BRITISH COLONEL	m	I have instructions to inquire as to  the subject of your speech tonight.
GANDHI	m	The value of goat's milk in daily  diet. But you can be sure I will also speak  against war.
BRITISH COLONEL	m	I'm sorry, sir. That can't be allowed.
ADJUTANT	?	It's all right, Mrs. Gandhi. I have  orders to return with you and your  companion to the Mahatma's ashram.
BA	f	If you take my husband, I intend to  speak in his place.
BOURKE-WHITE	?	Stop! Wait a minute!
LIEUTENANT	m	It was the Aga Khan's palace, but  they've turned it into a prison.
LIEUTENANT	m	They've got most of the leading  Congress politicians in this one.  But Nehru and some others are over  in Dehra Dun. Your timing's pretty  lucky. They had your Mr. Gandhi cut  off from the press but last month  his personal secretary died and  they've let up on the restrictions.
GANDHI	m	Yes, I have heard of Life Magazine. I have even heard of Margaret Bourke- White. But I don't know why either  should be interested in an old man  sitting in prison when the world is  blowing itself to pieces.
BOURKE-WHITE	?	You're the only man I know who makes  his own clothes.
GANDHI	m	Ah, but for me that's not much of an  accomplishment.
GANDHI	m	No -- prison is rather agreeable to  me, and there is no doubt that after  the war, independence will come. My  only worry is what shape it will  take. Jinnah has --
BOURKE-WHITE	?	Stop!
BOURKE-WHITE	?	Now go on -- just as you were.
BOURKE-WHITE	?	"...what shape it will take." Jinnah  has -- what?
GANDHI	m	Jinnah has -- has cooperated with  the British. It has given him power  and the freedom to speak, and he has  filled the Muslims with fears of  what will happen to them in a country  that is predominantly Hindu. That I find hard to bear -- even in  prison.
BOURKE-WHITE	?	I do not see it as the solution of  the twentieth century's problems!
GANDHI	m	I have a friend who keeps telling me  how much it costs him to keep me in  poverty.
GANDHI	m	But I know happiness does not come  with things -- even twentieth century  things. It can come from work, and  pride in what you do. It will not necessarily be "progress"  for India if she simply imports the  unhappiness of the West.
BOURKE-WHITE	?	But do you really believe you could  use non-violence against someone  like Hitler?
GANDHI	m	Not without defeats -- and great  pain. But are there no defeats in this war --  no pain? What you cannot do is accept  injustice. From Hitler -- or anyone.  You must make the injustice visible --  be prepared to die like a soldier to  do so.
BOURKE-WHITE	?	Is my finger supposed to be wrapped  around that?
GANDHI	m	No. That is what you get for  distracting me.
BOURKE-WHITE	?	What do you expect when you talk  like that?
GANDHI	m	I expect you to show as much patience  as I am now.
GANDHI	m	Every enemy is a human being -- even  the worst of them. And he believes  he is right and you are a beast. And if you beat him over the head  you will only convince him. But you  suffer, to show him that he is wrong,  your sacrifice creates an atmosphere  of understanding -- if not with him,  then in the hearts of the rest of  the community on whom he depends.
GANDHI	m	If you are right, you will win --  after much pain. If you are wrong, well, then, only  you will suffer the blows.
BA	f	...not at all. Bapu has always said  there were two kinds of slavery in  India -- one for women, one for the  untouchables -- and he has always  fought against both.
BOURKE-WHITE	?	Does it rankle, being separated from  him this way?
BA	f	Yes... but we see each other in the  day.
BOURKE-WHITE	?	But not at night...
BA	f	In Hindu philosophy the way to God  is to free yourself of possessions --  and the passions that inflame to  anger and jealousy. Bapu has always struggled to find  the way to God.
BOURKE-WHITE	?	You mean he -- he gave up -- married life.
BA	f	Four times he tried -- and failed. But then he took a solemn vow...
BOURKE-WHITE	?	And he has never broken it?
BA	f	Not yet.
MAJOR	m	I've got permission to move her --  he can go too.
DOCTOR	m	She's had a coronary throm -- a  serious heart failure. She wouldn't  survive a trip. It's best to leave  her -- and hope.
GANDHI	m	It is time for my walk -- I won't be  long.
MOUNTBATTEN	m	We have come to crown victory with  friendship -- to assist at the birth  of an independent India and to welcome  her as an equal member in the British  Commonwealth of Nations. I am here to see that I am the last  British Viceroy ever to have the  honor of such a reception.
JINNAH	m	I don't give a damn for the  independence of India! I am concerned  about the slavery of Muslims!
JINNAH	m	I will not sit by to see the mastery  of the British replaced by the mastery  of the Hindus!
GANDHI	m	Muslim and Hindu are the right and  left eye of India. No one will be  slave, no one master.
JINNAH	m	The world is not made of Mahatma  Gandhis. I am talking about the real world.
NEHRU	m	The "real India" has Muslims and  Hindus in every village and every  city! How do you propose to separate  them?
JINNAH	m	Where there is a Muslim majority --  that will be Pakistan. The rest is  your India.
PATEL	m	Mohammed -- the Muslims are in a  majority on two different sides of  the country.
JINNAH	m	Let us worry about Pakistan -- you  worry about India.
MOUNTBATTEN	m	Gentlemen, perhaps we should  recommence.
GODSE	?	Death to Jinnah! Death to Jinnah!
GANDHI	m	Thank God, they've stopped.
GANDHI	m	I'm your grand uncle but I can still  walk either of you into the ground  and I don't need to be pampered this  way!
GANDHI	m	Finish your quota of spinning.
HINDU YOUTH	f	Bapu -- please. Don't do it!
GANDHI	m	What do you want me not to do? Not  to meet with Mr. Jinnah? I am a Muslim! And a Hindu, and a Christian and a  Jew -- and so are all of you. When  you wave those flags and shout you  send fear into the hearts of your  brothers.
GANDHI	m	This is not the India I want. Stop  it. For God's sake, stop it.
JINNAH	m	Now, please, if you've finished your  prayers, could we begin with business.
GANDHI	m	My dear Jinnah, you and I are brothers  born of the same Mother India. If  you have fears, I want to put them  to rest. I am asking Panditji to stand down.  I want you to be the first Prime  Minister of India -- to name your entire cabinet, to  make the head of every government  department a Muslim.
NEHRU	m	Bapu, for me, and the rest, if that is what you want, we will  accept it. But out there already there is rioting because  Hindus fear you are going to give  too much away.
PATEL	m	If you did this, no one could control  it. No one.
JINNAH	m	It is your choice. Do you want an  independent India and an independent  Pakistan? Or do you want civil war?
BOURKE-WHITE	?	Aren't you being a little  overprotective?
KALLENBACH	?	Tomorrow. Tomorrow photograph him.
BOURKE-WHITE	?	I came all this way because I believed  the picture of Independence Day was  of him here alone.
KALLENBACH	?	It is violence, and the fear of  violence, that have made today what  it is... Give him the dignity of his  grief.
BOURKE-WHITE	?	And while we're sitting here feeding  goats, what will happen to all the  Muslims in India and the Hindus in  Pakistan?
KALLENBACH	?	Gandhi will pray for them...
NEHRU	m	No. There just are not that many  troops.
MILITARY AIDE	m	What's he to do?
NEHRU	m	What he can!
NEHRU	m	He was right. It's insane -- anything  would have been better.
PATEL	m	Have you found him?
NEHRU	m	He's in Noakhali.
NEHRU	m	He's tramping from village to village --  no police, no troops -- trying to  quell the madness single-handedly. Maulana has gone to bring him back.
NEHRU'S VOICE	m	What you have done in Noakhali is a  miracle, Bapu, a miracle, but millions  are on the move -- millions. There  is no way to stop it... and no one  can count the dead.
NEHRU	m	In Calcutta it's like civil war. The  Muslims rose and there was a  bloodbath, and now the Hindus are  taking revenge -- and if we can't  stop it there'll be no hope for the  Hindus left in Pakistan.
PATEL	m	...an eye for an eye making the whole  world blind.
AZAD	m	Aren't there any troops to spare?
NEHRU	m	Nothing -- nothing. The divisions in  Bombay and Delhi can hardly keep the  peace now. And each fresh bit of  news creates another wave of  mad...  ness.
PATEL	m	Could we cut all news off? I know --
NEHRU	m	Bapu -- please. Where are you going.
GANDHI	m	I don't want to hear more...
PATEL	m	We need your help!
GANDHI	m	There is nothing I can give.
AZAD	m	Where are you going?
GANDHI	m	Calcutta.
POLICE COMMISSIONER	f	Sir, please, I don't have the men to  protect you -- not in a Muslim house.  Not this quarter.
GANDHI	m	I am staying with the friend of a  friend.
A YOUTH	m	There he is!
HINDU YOUTH LEADER	f	Why are you staying at the home of a  Muslim! They're murderers! They killed  my family!
GANDHI	m	Because forgiveness is the gift of  the brave.
YOUTH	m	To hell with you, Gandhi!!
GANDHI	m	Go -- do as your mother and father  would wish you to do.
GANDHI	m	I have lived a lifetime. If I had  shunned death -- or feared it -- I  would not be here. Nor would you be  concerned for me. Leave me -- and take your men. You have more important things to  worry about.
WOMAN	f	Bapu... Allah be with you...
GANDHI	m	And with you. Pray... I cannot help you -- pray...  pray.
NEHRU	m	No! There will not be a Hindu Police  and a Muslim Police. There is one  police!
NEHRU	m	Why must I read news like this in  the paper?
NEHRU	m	Tell Patel. Arrange a plane. We will  go -- Friday.
THE AIDE	m	Four days?
NEHRU	m	Bapu...
GANDHI	m	Sardar... You have gained weight. You must  join me in the fast.
PATEL	m	If I fast I die. If you fast people  go to all sorts of trouble to keep  you alive.
NEHRU	m	Bapu, forgive me -- I've cheated. I  could have come earlier. But your  fast has helped. These last days  people's minds have begun to turn to  this bed -- and away from last night's  atrocity. But now it is enough.
GANDHI	m	All that has happened is that I've  grown a little thinner.
NEHRU	m	Tomorrow five thousand Muslim students  of all ages are marching here in  Calcutta -- for peace. And five thousand Hindu students are  marching with them. It is all  organized.
GANDHI	m	I'm glad -- but it will not be enough.
NEHRU	m	Bapu, you are not so young anymore.
GANDHI	m	Don't worry for me -- death will be  a deliverance. I cannot watch the destruction of  all I have lived for.
MIRABEHN	?	Bapu...
GANDHI	m	Each night before I sleep, I read a  few words from the Gita and the Koran,  and the Bible... tonight I ask you to share these  thoughts of God with me.
GANDHI	m	I will begin with the Bible where  the words of the Lord are, "Love thy  neighbor as thyself"... and then our  beloved Gita which says, "The world  is a garment worn by God, thy neighbor  is in truth thyself"... and finally  the Holy Koran, "We shall remove all  hatred from our hearts and recline  on couches face to face, a band of  brothers."
MIRABEHN	?	"Lead Kindly Light, amidst the  circling gloom..."
GANDHI/MIRABEHN	?	"The night is dark, and I am far  from home, Lead thou me on..."
NEHRU	m	Who dares say such things! Who?! Come! Kill me first! Come! Where are  you?! Kill me first!
MIRABEHN	?	His pulse is very irregular -- the  kidneys aren't functioning.
NEHRU	m	Bapu, I have brought Mr. Suhrawardy.  It was he who called on the Muslims  to rise; he is telling them now to  go back to their homes, to lay down  their arms.
NEHRU	m	Think what you can do by living --  that you cannot do by dying.
NEHRU	m	What do you want?
GANDHI	m	That the fighting will stop -- that  you make me believe it will never  start again.
NEHRU	m	...Sometimes it is when you are quite  without hope and in utter darkness  that God comes to the rescue. Gandhiji  is dying because of our madness. Put  away your "revenge." What will be  gained by more killing? Have the  courage to do what you know is right.  For God's sake, let us embrace like  brothers...
GOONDA LEADER	m	It is our promise. We stop. It is a  promise.
GANDHI	m	Go -- try -- God by with you.
NAHARI	?	Eat.
NAHARI	?	Eat! I am going to hell -- but not  with your death on my soul.
GANDHI	m	Only God decides who goes to hell...
NAHARI	?	I -- I killed a child... I smashed his head against a wall.
GANDHI	m	Why? Why?
NAHARI	?	They killed my son -- my boy!
NAHARI	?	The Muslims killed my son... they  killed him.
GANDHI	m	I know a way out of hell.
GANDHI	m	Find a child -- a child whose mother  and father have been killed. A little  boy -- about this high.
GANDHI	m	...and raise him -- as your own.
GANDHI	m	Only be sure... that he is a Muslim.  And that you raise him as one.
GANDHI	m	Go -- go. God bless you...
CONSTABLE	m	Yes, sir, yes, sir, "Wait."
CONSTABLE	m	Accident, "Christie crossroads," a  lorry and a rickshaw. Yes, sir, I  have it.
SERGEANT	m	I wouldn't have believed it, Mr.  Gupta.
SENIOR OFFICER	m	Sergeant, it's a bloody miracle...
MIRABEHN	?	Bapu, there's been no fighting --  anywhere. It has stopped -- the  madness has stopped.
GANDHI	m	It is foolish if it is just to save  the life of an old man.
MIRABEHN	?	No... no. In every temple and mosque  they have pledged to die before they  lift a hand against each other.
PATEL	m	Everywhere.
GANDHI	m	Maulana, my friend, could I have  some orange juice... Then you and I  will take a piece of bread together...
NEHRU	m	You see, Bapu, it is not difficult.  I have fasted only a few hours and I  accomplished what you could not do  in as many days.
GANDHI	m	That is how you eat muli.
GANDHI	m	I'm not sure I want to be remembered  that way.
BOURKE-WHITE	?	Don't worry, with luck you may not  be.
PATEL	m	No, he'll be remembered for tempting  fate.
ABHA	f	Mickey Mouse.
BOURKE-WHITE	?	You really are going to Pakistan,  then? You are a stubborn man.
GANDHI	m	I'm simply going to prove to Muslims  there, and Hindus here, that the  only devils in the world are those  running around in our own hearts --  and that's where all our battles  ought to be fought.
BOURKE-WHITE	?	And what kind of a warrior have you  been in that warfare?
GANDHI	m	Not a very good one. That's why I  have so much tolerance for the other  scoundrels of the world.
GANDHI	m	Ask Panditji to -- to consider what  we've discussed.
GANDHI	m	Enough.
BOURKE-WHITE	?	One more.
GANDHI	m	You're a temptress.
BOURKE-WHITE	?	Just an admirer...
GANDHI	m	Nothing's more dangerous, especially  for an old man.
BOURKE-WHITE	?	There's a sadness in him.
MIRABEHN	?	He thinks he's failed.
BOURKE-WHITE	?	Why? My God, if anything's proved  him right, it's what's happened these  last months...
MIRABEHN	?	I am blinded by my love of him, but  I think when we most needed it, he  offered the world a way out of  madness. But he doesn't see it...  and neither does the world.
GANDHI	m	Allah be with you.
MANU	m	Brother, Bapu is already late for  prayers.
GANDHI	m	Oh, God... oh, God...
MANU/ABHA	?	Bapu! Bapu!
GANDHI'S VOICE	m	...There have been tyrants and  murderers -- and for a time they can  seem invincible. But in the end they  always fall. Think of it -- always...  When you are in doubt that that is  God's way, the way the world is meant  to be... think of that.

